merchant_id,merchant_type,success_rate,total_txn
merch1000,grocery,0.9354838709677419,62
merch1001,online,0.9666666666666667,60
merch1002,food,0.8769230769230769,65
merch1003,grocery,0.9402985074626866,67
merch1004,food,0.9375,80
merch1005,food,0.9122807017543859,57
merch1006,electronics,0.9365079365079365,63
merch1007,food,0.9464285714285714,56
merch1008,food,0.9642857142857143,56
merch1009,food,0.92,50
merch1010,apparel,0.9365079365079365,63
merch1011,electronics,0.9122807017543859,57
merch1012,grocery,0.9696969696969697,66
merch1013,apparel,0.9607843137254902,51
merch1014,electronics,0.9122807017543859,57
merch1015,electronics,0.9166666666666666,60
merch1016,online,0.875,56
merch1017,transport,0.9655172413793104,58
merch1018,apparel,0.9726027397260274,73
merch1019,transport,0.9078947368421053,76
merch1020,apparel,0.9622641509433962,53
merch1021,food,0.8627450980392157,51
merch1022,electronics,0.8947368421052632,57
merch1023,apparel,0.9661016949152542,59
merch1024,apparel,0.927536231884058,69
merch1025,grocery,0.9056603773584906,53
merch1026,apparel,0.9122807017543859,57
merch1027,transport,0.96875,64
merch1028,apparel,0.9090909090909091,55
merch1029,grocery,0.9264705882352942,68
merch1030,apparel,0.9428571428571428,70
merch1031,apparel,0.9056603773584906,53
merch1032,grocery,0.9056603773584906,53
merch1033,food,0.94,50
merch1034,food,0.9047619047619048,63
merch1035,transport,0.9333333333333333,60
merch1036,food,0.98,50
merch1037,online,0.9210526315789473,38
merch1038,transport,0.953125,64
merch1039,electronics,0.9242424242424242,66
merch1040,transport,0.9444444444444444,54
merch1041,grocery,0.9545454545454546,44
merch1042,apparel,0.9482758620689655,58
merch1043,apparel,0.9137931034482759,58
merch1044,apparel,0.9259259259259259,54
merch1045,electronics,0.9714285714285714,70
merch1046,electronics,0.8524590163934426,61
merch1047,apparel,0.9666666666666667,60
merch1048,grocery,0.9166666666666666,48
merch1049,grocery,0.9027777777777778,72
merch1050,electronics,0.8548387096774194,62
merch1051,transport,0.8837209302325582,43
merch1052,electronics,0.9180327868852459,61
merch1053,grocery,0.9375,64
merch1054,apparel,0.8769230769230769,65
merch1055,electronics,0.9245283018867925,53
merch1056,grocery,0.8636363636363636,66
merch1057,transport,0.8947368421052632,57
merch1058,transport,0.9850746268656716,67
merch1059,grocery,0.9444444444444444,54
merch1060,food,0.8727272727272727,55
merch1061,grocery,0.9242424242424242,66
merch1062,online,0.8852459016393442,61
merch1063,apparel,0.8596491228070176,57
merch1064,electronics,0.890625,64
merch1065,grocery,0.9047619047619048,63
merch1066,online,0.90625,64
merch1067,electronics,0.9253731343283582,67
merch1068,grocery,0.9387755102040817,49
merch1069,online,0.8870967741935484,62
merch1070,online,0.9491525423728814,59
merch1071,food,0.9836065573770492,61
merch1072,transport,0.8596491228070176,57
merch1073,electronics,0.9066666666666666,75
merch1074,apparel,0.9454545454545454,55
merch1075,food,0.875,56
merch1076,apparel,0.921875,64
merch1077,apparel,0.9714285714285714,70
merch1078,apparel,0.9038461538461539,52
merch1079,food,0.9242424242424242,66
merch1080,food,0.9090909090909091,66
merch1081,grocery,0.9402985074626866,67
merch1082,grocery,0.9038461538461539,52
merch1083,online,0.9152542372881356,59
merch1084,online,0.8679245283018868,53
merch1085,online,0.9215686274509803,51
merch1086,food,0.9591836734693877,49
merch1087,electronics,0.9253731343283582,67
merch1088,transport,0.8571428571428571,63
merch1089,online,0.9272727272727272,55
merch1090,food,0.9482758620689655,58
merch1091,electronics,0.9285714285714286,56
merch1092,online,0.9038461538461539,52
merch1093,grocery,0.8305084745762712,59
merch1094,grocery,0.9574468085106383,47
merch1095,apparel,0.9814814814814815,54
merch1096,electronics,0.9142857142857143,70
merch1097,grocery,0.9444444444444444,72
merch1098,online,0.9649122807017544,57
merch1099,apparel,0.9264705882352942,68
merch1100,food,0.9642857142857143,56
merch1101,online,0.9253731343283582,67
merch1102,online,0.8923076923076924,65
merch1103,apparel,0.9206349206349206,63
merch1104,food,0.8928571428571429,56
merch1105,apparel,0.9166666666666666,60
merch1106,transport,0.9122807017543859,57
merch1107,electronics,0.8596491228070176,57
merch1108,transport,0.9107142857142857,56
merch1109,transport,0.9824561403508771,57
merch1110,online,0.8518518518518519,54
merch1111,online,0.9076923076923077,65
merch1112,apparel,0.9552238805970149,67
merch1113,apparel,0.9558823529411765,68
merch1114,food,0.8913043478260869,46
merch1115,online,0.9148936170212766,47
merch1116,food,0.9393939393939394,66
merch1117,apparel,0.9178082191780822,73
merch1118,food,0.9491525423728814,59
merch1119,apparel,0.9137931034482759,58
merch1120,transport,0.8983050847457628,59
merch1121,food,0.9054054054054054,74
merch1122,apparel,0.875,56
merch1123,electronics,0.9122807017543859,57
merch1124,electronics,0.9264705882352942,68
merch1125,grocery,0.9259259259259259,54
merch1126,apparel,0.9310344827586207,58
merch1127,food,0.9636363636363636,55
merch1128,electronics,0.8909090909090909,55
merch1129,transport,0.9464285714285714,56
merch1130,transport,0.967741935483871,62
merch1131,online,0.9146341463414634,82
merch1132,grocery,0.9375,64
merch1133,electronics,0.9333333333333333,60
merch1134,transport,0.9,70
merch1135,apparel,0.8305084745762712,59
merch1136,transport,0.921875,64
merch1137,electronics,0.8688524590163934,61
merch1138,apparel,0.8902439024390244,82
merch1139,online,0.8771929824561403,57
merch1140,online,0.9032258064516129,62
merch1141,apparel,0.9104477611940298,67
merch1142,online,0.9333333333333333,60
merch1143,food,0.9666666666666667,60
merch1144,apparel,0.9318181818181818,44
merch1145,transport,0.8769230769230769,65
merch1146,grocery,0.9107142857142857,56
merch1147,online,0.8793103448275862,58
merch1148,grocery,0.9154929577464789,71
merch1149,grocery,0.9166666666666666,60
merch1150,apparel,0.9423076923076923,52
merch1151,food,0.9183673469387755,49
merch1152,food,0.9491525423728814,59
merch1153,online,0.9347826086956522,46
merch1154,online,0.8939393939393939,66
merch1155,apparel,0.8823529411764706,51
merch1156,food,0.9384615384615385,65
merch1157,grocery,0.9375,48
merch1158,apparel,0.9473684210526315,57
merch1159,food,0.9285714285714286,56
merch1160,grocery,0.9420289855072463,69
merch1161,online,0.873015873015873,63
merch1162,food,0.9137931034482759,58
merch1163,online,0.8833333333333333,60
merch1164,online,0.9615384615384616,52
merch1165,transport,0.9178082191780822,73
merch1166,transport,0.8840579710144928,69
merch1167,transport,0.9574468085106383,47
merch1168,food,0.9310344827586207,58
merch1169,grocery,0.9,50
merch1170,transport,0.9772727272727273,44
merch1171,grocery,0.9016393442622951,61
merch1172,electronics,0.9464285714285714,56
merch1173,food,0.953125,64
merch1174,online,0.864406779661017,59
merch1175,apparel,0.9836065573770492,61
merch1176,online,0.9298245614035088,57
merch1177,grocery,0.9285714285714286,56
merch1178,electronics,0.9333333333333333,60
merch1179,online,0.9861111111111112,72
merch1180,transport,0.9178082191780822,73
merch1181,online,0.9298245614035088,57
merch1182,grocery,0.9130434782608695,46
merch1183,apparel,0.9090909090909091,55
merch1184,online,0.95,60
merch1185,online,0.82,50
merch1186,electronics,0.9245283018867925,53
merch1187,electronics,0.8970588235294118,68
merch1188,electronics,0.9259259259259259,54
merch1189,food,0.9047619047619048,63
merch1190,transport,0.9076923076923077,65
merch1191,transport,0.8870967741935484,62
merch1192,transport,0.9074074074074074,54
merch1193,transport,0.9491525423728814,59
merch1194,transport,0.9272727272727272,55
merch1195,transport,0.9552238805970149,67
merch1196,apparel,0.9393939393939394,66
merch1197,electronics,0.8596491228070176,57
merch1198,food,0.9285714285714286,70
merch1199,apparel,0.9830508474576272,59
merch1200,electronics,0.8727272727272727,55
merch1201,grocery,0.8936170212765957,47
merch1202,food,0.9,60
merch1203,apparel,0.9428571428571428,70
merch1204,apparel,0.96875,64
merch1205,electronics,0.8596491228070176,57
merch1206,apparel,0.9411764705882353,51
merch1207,grocery,0.9666666666666667,60
merch1208,grocery,0.8714285714285714,70
merch1209,electronics,0.9180327868852459,61
merch1210,grocery,0.9682539682539683,63
merch1211,food,0.9107142857142857,56
merch1212,apparel,0.9102564102564102,78
merch1213,electronics,0.9649122807017544,57
merch1214,grocery,0.984375,64
merch1215,food,0.9259259259259259,54
merch1216,apparel,0.9074074074074074,54
merch1217,food,0.9375,64
merch1218,electronics,0.8888888888888888,63
merch1219,food,0.9178082191780822,73
merch1220,transport,0.8723404255319149,47
merch1221,transport,0.896551724137931,58
merch1222,online,0.8611111111111112,72
merch1223,food,0.9032258064516129,62
merch1224,electronics,0.9264705882352942,68
merch1225,grocery,0.9152542372881356,59
merch1226,electronics,0.9019607843137255,51
merch1227,grocery,0.9027777777777778,72
merch1228,grocery,0.9032258064516129,62
merch1229,online,0.9054054054054054,74
merch1230,food,0.9295774647887324,71
merch1231,electronics,0.9473684210526315,57
merch1232,electronics,0.9428571428571428,70
merch1233,transport,0.9166666666666666,60
merch1234,apparel,0.9318181818181818,44
merch1235,grocery,0.972972972972973,74
merch1236,online,0.9193548387096774,62
merch1237,electronics,0.9,60
merch1238,transport,0.8983050847457628,59
merch1239,food,0.9838709677419355,62
merch1240,food,0.9193548387096774,62
merch1241,online,0.9122807017543859,57
merch1242,apparel,0.9107142857142857,56
merch1243,online,0.9491525423728814,59
merch1244,electronics,0.9436619718309859,71
merch1245,online,0.9811320754716981,53
merch1246,apparel,0.9666666666666667,60
merch1247,electronics,0.9206349206349206,63
merch1248,apparel,0.94,50
merch1249,electronics,0.9166666666666666,60
merch1250,electronics,0.9444444444444444,54
merch1251,food,0.847457627118644,59
merch1252,grocery,0.9444444444444444,54
merch1253,apparel,0.8571428571428571,63
merch1254,grocery,0.9473684210526315,57
merch1255,apparel,0.8225806451612904,62
merch1256,online,0.9344262295081968,61
merch1257,apparel,0.875,72
merch1258,grocery,0.95,60
merch1259,food,0.9552238805970149,67
merch1260,transport,0.8909090909090909,55
merch1261,grocery,0.9821428571428571,56
merch1262,online,0.9538461538461539,65
merch1263,online,0.9230769230769231,52
merch1264,electronics,0.9491525423728814,59
merch1265,food,0.8923076923076924,65
merch1266,apparel,0.8955223880597015,67
merch1267,food,0.9444444444444444,54
merch1268,transport,0.9117647058823529,68
merch1269,online,0.8490566037735849,53
merch1270,transport,0.9354838709677419,62
merch1271,transport,0.9571428571428572,70
merch1272,online,0.9491525423728814,59
merch1273,food,0.8947368421052632,57
merch1274,online,0.9193548387096774,62
merch1275,electronics,0.9803921568627451,51
merch1276,electronics,0.9571428571428572,70
merch1277,food,0.9795918367346939,49
merch1278,electronics,0.8852459016393442,61
merch1279,online,0.9523809523809523,63
merch1280,apparel,0.8285714285714286,70
merch1281,electronics,0.9393939393939394,66
merch1282,grocery,0.9459459459459459,74
merch1283,grocery,0.9365079365079365,63
merch1284,online,0.9682539682539683,63
merch1285,transport,0.9642857142857143,56
merch1286,transport,0.9090909090909091,55
merch1287,electronics,0.9859154929577465,71
merch1288,electronics,0.9032258064516129,62
merch1289,food,0.9787234042553191,47
merch1290,food,0.96,50
merch1291,electronics,0.9019607843137255,51
merch1292,electronics,0.8947368421052632,57
merch1293,apparel,0.9666666666666667,60
merch1294,online,0.9137931034482759,58
merch1295,apparel,0.9436619718309859,71
merch1296,food,0.9074074074074074,54
merch1297,food,0.9512195121951219,41
merch1298,apparel,0.8888888888888888,72
merch1299,electronics,1.0,55
merch1300,electronics,0.9264705882352942,68
merch1301,apparel,0.9491525423728814,59
merch1302,electronics,0.9215686274509803,51
merch1303,transport,0.896551724137931,58
merch1304,food,0.9365079365079365,63
merch1305,electronics,0.9347826086956522,46
merch1306,transport,0.9607843137254902,51
merch1307,apparel,0.9473684210526315,57
merch1308,transport,0.9076923076923077,65
merch1309,apparel,0.8723404255319149,47
merch1310,apparel,0.9176470588235294,85
merch1311,electronics,0.9833333333333333,60
merch1312,transport,0.958904109589041,73
merch1313,online,0.9433962264150944,53
merch1314,electronics,0.9152542372881356,59
merch1315,electronics,0.95,80
merch1316,transport,0.8846153846153846,52
merch1317,food,0.896551724137931,58
merch1318,online,0.925,80
merch1319,online,0.8983050847457628,59
merch1320,transport,0.9206349206349206,63
merch1321,electronics,0.88,50
merch1322,electronics,0.9193548387096774,62
merch1323,grocery,0.9433962264150944,53
merch1324,grocery,0.9482758620689655,58
merch1325,apparel,0.9571428571428572,70
merch1326,grocery,0.9047619047619048,63
merch1327,apparel,0.9183673469387755,49
merch1328,food,0.9821428571428571,56
merch1329,grocery,0.9285714285714286,70
merch1330,online,0.9242424242424242,66
merch1331,online,0.90625,64
merch1332,grocery,0.9607843137254902,51
merch1333,grocery,0.9444444444444444,72
merch1334,food,0.9295774647887324,71
merch1335,online,0.8983050847457628,59
merch1336,electronics,0.9558823529411765,68
merch1337,transport,0.8548387096774194,62
merch1338,apparel,0.9649122807017544,57
merch1339,apparel,0.9298245614035088,57
merch1340,online,0.9696969696969697,66
merch1341,apparel,0.9365079365079365,63
merch1342,transport,0.921875,64
merch1343,grocery,0.9473684210526315,57
merch1344,apparel,0.9206349206349206,63
merch1345,online,0.8392857142857143,56
merch1346,electronics,0.9104477611940298,67
merch1347,electronics,0.8979591836734694,49
merch1348,apparel,0.9538461538461539,65
merch1349,grocery,0.9384615384615385,65
merch1350,apparel,0.8939393939393939,66
merch1351,transport,0.9583333333333334,48
merch1352,food,0.9066666666666666,75
merch1353,food,0.9354838709677419,62
merch1354,online,0.95,60
merch1355,apparel,1.0,46
merch1356,food,0.9122807017543859,57
merch1357,apparel,0.9354838709677419,62
merch1358,electronics,0.9032258064516129,62
merch1359,transport,0.9041095890410958,73
merch1360,food,0.9672131147540983,61
merch1361,online,0.9285714285714286,56
merch1362,grocery,0.9411764705882353,51
merch1363,apparel,0.9420289855072463,69
merch1364,transport,0.9259259259259259,54
merch1365,electronics,0.8888888888888888,45
merch1366,apparel,0.8955223880597015,67
merch1367,online,0.927536231884058,69
merch1368,grocery,0.9629629629629629,54
merch1369,food,0.9384615384615385,65
merch1370,online,0.9117647058823529,68
merch1371,online,0.9032258064516129,62
merch1372,grocery,0.9824561403508771,57
merch1373,electronics,0.9206349206349206,63
merch1374,online,0.9152542372881356,59
merch1375,online,0.9491525423728814,59
merch1376,electronics,0.9824561403508771,57
merch1377,apparel,0.9322033898305084,59
merch1378,transport,0.9322033898305084,59
merch1379,food,0.953125,64
merch1380,apparel,0.8833333333333333,60
merch1381,apparel,0.9210526315789473,76
merch1382,food,0.9166666666666666,60
merch1383,food,0.9682539682539683,63
merch1384,grocery,0.8947368421052632,57
merch1385,food,0.9384615384615385,65
merch1386,electronics,0.9154929577464789,71
merch1387,food,0.8888888888888888,63
merch1388,grocery,0.9298245614035088,57
merch1389,grocery,0.8833333333333333,60
merch1390,electronics,0.9122807017543859,57
merch1391,transport,0.8793103448275862,58
merch1392,online,0.9482758620689655,58
merch1393,online,0.9215686274509803,51
merch1394,online,0.9148936170212766,47
merch1395,food,0.8939393939393939,66
merch1396,transport,0.9423076923076923,52
merch1397,apparel,0.9347826086956522,46
merch1398,grocery,0.9491525423728814,59
merch1399,online,0.9583333333333334,48
merch1400,electronics,0.9615384615384616,52
merch1401,online,0.9142857142857143,70
merch1402,online,0.8695652173913043,69
merch1403,electronics,0.972972972972973,37
merch1404,online,0.8983050847457628,59
merch1405,transport,0.9107142857142857,56
merch1406,online,0.9253731343283582,67
merch1407,electronics,0.8909090909090909,55
merch1408,electronics,0.9344262295081968,61
merch1409,online,0.9661016949152542,59
merch1410,electronics,0.9230769230769231,65
merch1411,online,0.9032258064516129,62
merch1412,online,0.953125,64
merch1413,food,0.9420289855072463,69
merch1414,apparel,0.9354838709677419,62
merch1415,transport,0.9074074074074074,54
merch1416,grocery,0.9285714285714286,56
merch1417,transport,0.8923076923076924,65
merch1418,grocery,0.8695652173913043,46
merch1419,apparel,0.9803921568627451,51
merch1420,food,0.9347826086956522,46
merch1421,transport,0.851063829787234,47
merch1422,apparel,0.9333333333333333,60
merch1423,electronics,0.9516129032258065,62
merch1424,food,0.9491525423728814,59
merch1425,transport,0.8840579710144928,69
merch1426,grocery,0.9298245614035088,57
merch1427,apparel,0.95,60
merch1428,electronics,0.9032258064516129,62
merch1429,online,0.921875,64
merch1430,online,0.921875,64
merch1431,online,0.9682539682539683,63
merch1432,transport,0.9066666666666666,75
merch1433,transport,0.9402985074626866,67
merch1434,grocery,0.8983050847457628,59
merch1435,transport,0.9344262295081968,61
merch1436,electronics,0.9074074074074074,54
merch1437,apparel,0.896551724137931,58
merch1438,transport,0.9090909090909091,66
merch1439,transport,0.8823529411764706,51
merch1440,electronics,0.9482758620689655,58
merch1441,grocery,0.9607843137254902,51
merch1442,transport,0.96,50
merch1443,transport,0.8771929824561403,57
merch1444,electronics,0.8775510204081632,49
merch1445,transport,0.9384615384615385,65
merch1446,electronics,0.9491525423728814,59
merch1447,electronics,0.9310344827586207,58
merch1448,apparel,0.9342105263157895,76
merch1449,apparel,0.9830508474576272,59
merch1450,food,0.8888888888888888,63
merch1451,grocery,0.9032258064516129,62
merch1452,food,0.9178082191780822,73
merch1453,apparel,0.9375,64
merch1454,apparel,0.92,50
merch1455,food,0.8873239436619719,71
merch1456,grocery,0.9661016949152542,59
merch1457,grocery,0.9016393442622951,61
merch1458,electronics,0.8714285714285714,70
merch1459,online,0.9333333333333333,45
merch1460,apparel,0.8955223880597015,67
merch1461,grocery,0.8955223880597015,67
merch1462,electronics,0.8947368421052632,76
merch1463,electronics,0.8709677419354839,62
merch1464,online,0.8939393939393939,66
merch1465,transport,0.9272727272727272,55
merch1466,food,0.8412698412698413,63
merch1467,apparel,0.9365079365079365,63
merch1468,electronics,0.9516129032258065,62
merch1469,electronics,0.9264705882352942,68
merch1470,apparel,0.9444444444444444,54
merch1471,apparel,0.9333333333333333,75
merch1472,food,0.9649122807017544,57
merch1473,apparel,0.921875,64
merch1474,transport,0.9014084507042254,71
merch1475,food,0.8771929824561403,57
merch1476,grocery,0.9259259259259259,81
merch1477,apparel,0.9482758620689655,58
merch1478,online,0.9672131147540983,61
merch1479,online,0.9166666666666666,60
merch1480,electronics,0.9649122807017544,57
merch1481,apparel,0.9672131147540983,61
merch1482,electronics,0.9452054794520548,73
merch1483,online,0.9242424242424242,66
merch1484,grocery,0.9444444444444444,54
merch1485,apparel,0.8035714285714286,56
merch1486,apparel,0.9411764705882353,51
merch1487,apparel,0.948051948051948,77
merch1488,grocery,0.7755102040816326,49
merch1489,grocery,0.9166666666666666,72
merch1490,food,0.9491525423728814,59
merch1491,online,0.8823529411764706,68
merch1492,food,0.9420289855072463,69
merch1493,apparel,0.8983050847457628,59
merch1494,food,0.8939393939393939,66
merch1495,grocery,0.9558823529411765,68
merch1496,online,0.9344262295081968,61
merch1497,online,0.921875,64
merch1498,electronics,0.9814814814814815,54
merch1499,electronics,0.8703703703703703,54
